date,AAPL,AMAT,AMD,CSCO,IBM,INTC,MSFT,MU,NVDA,ORCL,WDC
1985-03-28,32401600.0,3328000.0,1058200.0,,3973600.0,25795200.0,,348000.0,,,275000.0
1985-03-29,21795200.0,1612800.0,454600.0,,2780000.0,24777600.0,,1205000.0,,,147000.0
1985-04-01,28515200.0,512000.0,322400.0,,3363200.0,34238400.0,,1886000.0,,,36200.0
1985-04-02,56856800.0,2560000.0,596200.0,,3796000.0,16867200.0,,1283000.0,,,223200.0
1985-04-03,60664800.0,1804800.0,364800.0,,3316000.0,10267200.0,,6302000.0,,,196400.0
1985-04-04,40465600.0,1868800.0,438200.0,,2147200.0,11380800.0,,4288000.0,,,219800.0
1985-04-08,49683200.0,1228800.0,268400.0,,4876000.0,8246400.0,,1910000.0,,,45000.0
1985-04-09,65973600.0,1932800.0,363800.0,,3878800.0,9470400.0,,1664000.0,,,68000.0
1985-04-10,56728000.0,1113600.0,708600.0,,4065200.0,18158400.0,,3294000.0,,,248800.0
1985-04-11,36668800.0,3494400.0,628000.0,,4941600.0,22939200.0,,5792000.0,,,92800.0
1985-04-12,18132800.0,3008000.0,821000.0,,3810400.0,25334400.0,,805000.0,,,52400.0
1985-04-15,14957600.0,5875200.0,606800.0,,4135200.0,11942400.0,,556000.0,,,196600.0
1985-04-16,16912000.0,3353600.0,804000.0,,4660800.0,26644800.0,,958000.0,,,167000.0
1985-04-17,30811200.0,13209600.0,515800.0,,3606800.0,23068800.0,,2504000.0,,,126200.0
1985-04-18,50607200.0,5363200.0,1144200.0,,3995200.0,48691200.0,,6597000.0,,,278800.0
1985-04-19,24007200.0,1024000.0,952400.0,,2958800.0,13003200.0,,4438000.0,,,25400.0
1985-04-22,25648000.0,2777600.0,1990600.0,,2596400.0,13948800.0,,2446000.0,,,106400.0
1985-04-23,29573600.0,6464000.0,978200.0,,3876800.0,23875200.0,,1284000.0,,,123200.0
1985-04-24,19734400.0,2892800.0,380800.0,,3285600.0,26020800.0,,1690000.0,,,169000.0
1985-04-25,21907200.0,10432000.0,542200.0,,3944000.0,19156800.0,,3726000.0,,,24600.0
1985-04-26,29926400.0,6681600.0,845800.0,,2798400.0,13670400.0,,4424000.0,,,810800.0
1985-04-29,15551200.0,2214400.0,859600.0,,3251200.0,12979200.0,,2563000.0,,,80000.0
1985-04-30,23682400.0,2508800.0,712000.0,,5121200.0,21172800.0,,1749000.0,,,83600.0
1985-05-01,14336000.0,7680000.0,1162800.0,,4540000.0,19166400.0,,767000.0,,,75800.0
1985-05-02,82443200.0,4032000.0,648800.0,,5035200.0,8755200.0,,611000.0,,,59000.0
1985-05-03,39530400.0,3430400.0,671800.0,,3082000.0,23702400.0,,731000.0,,,367400.0
1985-05-06,14033600.0,2406400.0,454200.0,,2317600.0,16814400.0,,2906000.0,,,292200.0
1985-05-07,26902400.0,12582400.0,1367400.0,,3091600.0,23304000.0,,1339000.0,,,178200.0
1985-05-08,36097600.0,1024000.0,332000.0,,3702800.0,11054400.0,,4090000.0,,,358400.0
1985-05-09,31768800.0,3558400.0,1257600.0,,3913200.0,27494400.0,,1479000.0,,,336600.0
1985-05-10,34020000.0,9011200.0,1773800.0,,8956000.0,45326400.0,,2933000.0,,,660800.0
1985-05-13,21806400.0,8896000.0,798600.0,,4630400.0,59620800.0,,796000.0,,,217000.0
1985-05-14,30436000.0,7936000.0,812400.0,,6204800.0,29328000.0,,1757000.0,,,172800.0
1985-05-15,32608800.0,1740800.0,489600.0,,4190400.0,31363200.0,,1428000.0,,,286000.0
1985-05-16,57635200.0,742400.0,404000.0,,3927600.0,15052800.0,,503000.0,,,153400.0
